Date,Quantity
27-10-2022,10.19
27-10-2022,3.69
28-10-2022,3
28-10-2022,4.98
28-10-2022,5.03
29-10-2022,10.19
29-10-2022,4
29-10-2022,3.75
29-10-2022,4.51
31-10-2022,5.61
31-10-2022,5.02
01-11-2022,4.98
01-11-2022,4.79
01-11-2022,4.05
01-11-2022,2.6
01-11-2022,0.33
01-11-2022,0.98
01-11-2022,4.98
02-11-2022,1.16
02-11-2022,5.09
03-11-2022,5.1
03-11-2022,10.19
03-11-2022,10.19
03-11-2022,3.11
03-11-2022,1.92
03-11-2022,3
04-11-2022,10.19
04-11-2022,3.75
04-11-2022,3.8
04-11-2022,2.03
05-11-2022,2.59
05-11-2022,4.01
05-11-2022,0.518
05-11-2022,10.1
07-11-2022,1.59
07-11-2022,1.99
08-11-2022,8.432
08-11-2022,2.07
08-11-2022,1.01
09-11-2022,2.53
09-11-2022,3.61
09-11-2022,3.02
10-11-2022,2.02
10-11-2022,0.61
10-11-2022,3.01
10-11-2022,1.01
10-11-2022,4.98
11-11-2022,4.87
11-11-2022,2
11-11-2022,5.09
11-11-2022,1.99
14-11-2022,1.31
14-11-2022,6.05
14-11-2022,10.19
14-11-2022,5.13
14-11-2022,0.6
15-11-2022,5.02
15-11-2022,2.51
15-11-2022,0.33
15-11-2022,4.54
15-11-2022,0.36
15-11-2022,0.42
16-11-2022,10.19
16-11-2022,0.21
16-11-2022,3.56
16-11-2022,3.73
17-11-2022,5.18
18-11-2022,1.99
18-11-2022,0.99
18-11-2022,1.08
18-11-2022,5.04
18-11-2022,3.74
19-11-2022,1.01
19-11-2022,5.02
21-11-2022,0.24
22-11-2022,2.64
22-11-2022,1.44
23-11-2022,0.26
23-11-2022,5
23-11-2022,2.53
24-11-2022,2.03
25-11-2022,4.96
25-11-2022,2.28
25-11-2022,1.03
26-11-2022,3.91
28-11-2022,1.302
28-11-2022,3.18
28-11-2022,10.19
28-11-2022,5.01
29-11-2022,0.51
29-11-2022,7.57
29-11-2022,4.04
29-11-2022,6.06
30-11-2022,10.19
30-11-2022,2.45
30-11-2022,1.49
30-11-2022,3.97
30-11-2022,10.12
01-12-2022,7.75
02-12-2022,4.88
02-12-2022,1.51
03-12-2022,0.59
03-12-2022,4.02
03-12-2022,5.08
05-12-2022,1.51
05-12-2022,4.97
06-12-2022,2.51
06-12-2022,5.01
06-12-2022,8.8
06-12-2022,1.095
06-12-2022,2.02
08-12-2022,5.05
08-12-2022,2.563
08-12-2022,10.14
08-12-2022,5.17
08-12-2022,0.92
09-12-2022,1.22
13-12-2022,1.48
13-12-2022,3.01
13-12-2022,5.1
14-12-2022,2.48
14-12-2022,10.19
14-12-2022,2.53
15-12-2022,3.83
16-12-2022,1.09
16-12-2022,8
16-12-2022,5.01
16-12-2022,10.19
17-12-2022,0.26
17-12-2022,3.12
17-12-2022,10.19
17-12-2022,5.05
19-12-2022,1.51
19-12-2022,1
20-12-2022,1.03
20-12-2022,4.95
20-12-2022,0.302
21-12-2022,0.42
21-12-2022,10.19
21-12-2022,10.19
21-12-2022,5.11
21-12-2022,10.19
21-12-2022,3.74
21-12-2022,5.9
22-12-2022,3.75
22-12-2022,3
22-12-2022,5.05
22-12-2022,0.01
22-12-2022,0.99
22-12-2022,2.32
23-12-2022,5.03
23-12-2022,0.5
23-12-2022,1.13
23-12-2022,0.34
23-12-2022,0.845
24-12-2022,0.02
24-12-2022,3.23
24-12-2022,10.06
28-12-2022,4.2
28-12-2022,10.19
30-12-2022,2.95
30-12-2022,0.58
30-12-2022,2.09
30-12-2022,3.2
31-12-2022,10.19
31-12-2022,0.51
31-12-2022,1.02
31-12-2022,3.78
02-01-2023,4.21
03-01-2023,3.87
04-01-2023,4.53
09-01-2023,4.02
10-01-2023,-0.302
10-01-2023,3.01
10-01-2023,2.44
10-01-2023,2.01
11-01-2023,3.85
11-01-2023,2.25
11-01-2023,10.09
12-01-2023,0.75
12-01-2023,0.99
13-01-2023,1.98
13-01-2023,3.55
13-01-2023,1
16-01-2023,1.98
16-01-2023,7.53
16-01-2023,1.99
17-01-2023,2.01
17-01-2023,4.94
17-01-2023,3.99
18-01-2023,2.55
18-01-2023,6.04
18-01-2023,10.19
19-01-2023,0.13
19-01-2023,2.51
19-01-2023,5.03
19-01-2023,3.52
20-01-2023,5.1
20-01-2023,2.5
20-01-2023,2.05
20-01-2023,4.18
21-01-2023,1.6
21-01-2023,2.02
21-01-2023,1.09
23-01-2023,10.19
23-01-2023,10.19
23-01-2023,2.06
23-01-2023,1.51
23-01-2023,0.34
24-01-2023,4.01
24-01-2023,4.85
24-01-2023,2.04
24-01-2023,5.01
24-01-2023,2.01
25-01-2023,6.02
25-01-2023,4.07
27-01-2023,4.92
27-01-2023,4.93
27-01-2023,2.02
28-01-2023,5.1
28-01-2023,0.25
28-01-2023,4.17
28-01-2023,10.19
30-01-2023,0.68
31-01-2023,2.16
31-01-2023,2
31-01-2023,8.1
01-02-2023,5.01
04-02-2023,1.448
04-02-2023,10.19
04-02-2023,5.732
04-02-2023,2.01
07-02-2023,2.01
07-02-2023,7.64
07-02-2023,4.88
08-02-2023,1.15
08-02-2023,10.07
09-02-2023,10.14
09-02-2023,0.25
13-02-2023,1.5
14-02-2023,5.2
15-02-2023,3
16-02-2023,2
16-02-2023,0.09
16-02-2023,10.19
16-02-2023,2.46
17-02-2023,1.99
20-02-2023,5.24
21-02-2023,1
21-02-2023,3.72
22-02-2023,1.02
23-02-2023,10.19
23-02-2023,3.01
25-02-2023,10.19
25-02-2023,0.17
27-02-2023,3.13
27-02-2023,0.43
28-02-2023,0.97
28-02-2023,0.51
28-02-2023,5.01
28-02-2023,2.95
28-02-2023,5.04
28-02-2023,5.04
01-03-2023,1.69
01-03-2023,3.93
01-03-2023,3.76
01-03-2023,1.01
01-03-2023,0.51
02-03-2023,2.01
02-03-2023,5.07
03-03-2023,0.49
03-03-2023,5.04
03-03-2023,2.99
09-03-2023,4.97
09-03-2023,2.97
10-03-2023,2.93
10-03-2023,2.57
10-03-2023,0.657
10-03-2023,1.08
10-03-2023,1.01
13-03-2023,4.27
13-03-2023,2.98
13-03-2023,1.48
13-03-2023,4.57
13-03-2023,0.42
14-03-2023,0.75
18-03-2023,4.02
18-03-2023,2.5
18-03-2023,0.6
19-03-2023,2.19
20-03-2023,2
20-03-2023,9.98
20-03-2023,8.81
20-03-2023,2.52
21-03-2023,3.01
21-03-2023,2.98
21-03-2023,3
21-03-2023,3.73
21-03-2023,3.81
22-03-2023,2.02
22-03-2023,0.51
23-03-2023,10.12
23-03-2023,2.51
23-03-2023,10.19
24-03-2023,2.16
24-03-2023,5.92
25-03-2023,2.43
25-03-2023,5.01
28-03-2023,10.19
28-03-2023,0.98
29-03-2023,5.01
29-03-2023,0.17
30-03-2023,10.19
30-03-2023,10.19
30-03-2023,3.59
30-03-2023,4.53
31-03-2023,0.42
31-03-2023,4.99
31-03-2023,3.74
13-02-2021,5.1
17-02-2021,5.04
27-02-2021,1.39
27-02-2021,0.39
08-04-2021,1.14
12-05-2021,5.22
27-05-2021,9.99
28-05-2021,-3.01
13-07-2021,10.19
30-09-2021,8.85
04-10-2021,4.98
07-10-2021,10.19
27-10-2021,5.03
16-11-2021,10.19
18-11-2021,0.631
18-11-2021,0.2
27-12-2021,9.94
03-01-2022,5.07
29-01-2022,9.95
25-04-2022,10.19
03-05-2022,1.74
09-06-2022,8.87
25-08-2022,9
12-09-2022,10.12
16-09-2022,7.55
28-09-2022,10.19
29-09-2022,5.12
29-09-2022,1.44
29-09-2022,0.391
11-10-2022,10.19
01-11-2022,3.83
21-11-2022,3.85
23-11-2022,4.42
28-11-2022,4.37
21-12-2022,3.6
21-12-2022,10.05
27-12-2022,4.05
06-01-2023,9.94
16-01-2023,4.93
19-01-2023,10.19
20-01-2023,3.86
24-01-2023,3.57
07-03-2023,
10-03-2023,
23-03-2023,
25-03-2023,
30-03-2023,
